iButton_Temp,Time_Date,Object,Size,Location,id,Month,Season
30.5,06/01/2020 21:27,Bush,Large,Tzeelim,1,6,Summer
29,06/01/2020 22:27,Bush,Large,Tzeelim,1,6,Summer
28.5,06/01/2020 23:27,Bush,Large,Tzeelim,1,6,Summer
28,06/02/2020 0:27,Bush,Large,Tzeelim,1,6,Summer
27.5,06/02/2020 1:27,Bush,Large,Tzeelim,1,6,Summer
26.5,06/02/2020 2:27,Bush,Large,Tzeelim,1,6,Summer
25.5,06/02/2020 3:27,Bush,Large,Tzeelim,1,6,Summer
25,06/02/2020 4:27,Bush,Large,Tzeelim,1,6,Summer
24,06/02/2020 5:27,Bush,Large,Tzeelim,1,6,Summer
24.5,06/02/2020 6:27,Bush,Large,Tzeelim,1,6,Summer
27,06/02/2020 7:27,Bush,Large,Tzeelim,1,6,Summer
31,06/02/2020 8:27,Bush,Large,Tzeelim,1,6,Summer
36,06/02/2020 9:27,Bush,Large,Tzeelim,1,6,Summer
41.5,06/02/2020 10:27,Bush,Large,Tzeelim,1,6,Summer
45.5,06/02/2020 11:27,Bush,Large,Tzeelim,1,6,Summer
47.5,06/02/2020 12:27,Bush,Large,Tzeelim,1,6,Summer
46.5,06/02/2020 13:27,Bush,Large,Tzeelim,1,6,Summer
39.5,06/02/2020 14:27,Bush,Large,Tzeelim,1,6,Summer
37,06/02/2020 15:27,Bush,Large,Tzeelim,1,6,Summer
36,06/02/2020 16:27,Bush,Large,Tzeelim,1,6,Summer
34,06/02/2020 17:27,Bush,Large,Tzeelim,1,6,Summer
27,06/01/2020 0:32,Bush,Large,Mishmar,2,6,Summer
27.5,06/01/2020 1:32,Bush,Large,Mishmar,2,6,Summer
27,06/01/2020 2:32,Bush,Large,Mishmar,2,6,Summer
27,06/01/2020 3:32,Bush,Large,Mishmar,2,6,Summer
26.5,06/01/2020 4:32,Bush,Large,Mishmar,2,6,Summer
26,06/01/2020 5:32,Bush,Large,Mishmar,2,6,Summer
26,06/01/2020 6:32,Bush,Large,Mishmar,2,6,Summer
29,06/01/2020 7:32,Bush,Large,Mishmar,2,6,Summer
32,06/01/2020 8:32,Bush,Large,Mishmar,2,6,Summer
34.5,06/01/2020 9:32,Bush,Large,Mishmar,2,6,Summer
36,06/01/2020 10:32,Bush,Large,Mishmar,2,6,Summer
36.5,06/01/2020 11:32,Bush,Large,Mishmar,2,6,Summer
37.5,06/01/2020 12:32,Bush,Large,Mishmar,2,6,Summer
39,06/01/2020 13:32,Bush,Large,Mishmar,2,6,Summer
39.5,06/01/2020 14:32,Bush,Large,Mishmar,2,6,Summer
37.5,06/01/2020 15:32,Bush,Large,Mishmar,2,6,Summer
37,06/01/2020 16:32,Bush,Large,Mishmar,2,6,Summer
36,06/01/2020 17:32,Bush,Large,Mishmar,2,6,Summer
35,06/01/2020 18:32,Bush,Large,Mishmar,2,6,Summer
33.5,06/01/2020 19:32,Bush,Large,Mishmar,2,6,Summer
32,06/01/2020 20:32,Bush,Large,Mishmar,2,6,Summer
31.5,06/01/2020 21:32,Bush,Large,Mishmar,2,6,Summer
31,06/01/2020 22:32,Bush,Large,Mishmar,2,6,Summer
30.5,06/01/2020 23:32,Bush,Large,Mishmar,2,6,Summer
30,06/02/2020 0:32,Bush,Large,Mishmar,2,6,Summer
29.5,06/02/2020 1:32,Bush,Large,Mishmar,2,6,Summer
29,06/02/2020 2:32,Bush,Large,Mishmar,2,6,Summer
28.5,06/02/2020 3:32,Bush,Large,Mishmar,2,6,Summer
28,06/02/2020 4:32,Bush,Large,Mishmar,2,6,Summer
27.5,06/02/2020 5:32,Bush,Large,Mishmar,2,6,Summer
28,06/02/2020 6:32,Bush,Large,Mishmar,2,6,Summer
30,06/02/2020 7:32,Bush,Large,Mishmar,2,6,Summer
33,06/02/2020 8:32,Bush,Large,Mishmar,2,6,Summer
37,06/02/2020 9:32,Bush,Large,Mishmar,2,6,Summer
39,06/02/2020 10:32,Bush,Large,Mishmar,2,6,Summer
40.5,06/02/2020 11:32,Bush,Large,Mishmar,2,6,Summer
43,06/02/2020 12:32,Bush,Large,Mishmar,2,6,Summer
44,06/02/2020 13:32,Bush,Large,Mishmar,2,6,Summer
40.5,06/02/2020 14:32,Bush,Large,Mishmar,2,6,Summer
38,06/02/2020 15:32,Bush,Large,Mishmar,2,6,Summer
38,06/02/2020 16:32,Bush,Large,Mishmar,2,6,Summer
36.5,06/02/2020 17:32,Bush,Large,Mishmar,2,6,Summer
34.5,06/02/2020 18:32,Bush,Large,Mishmar,2,6,Summer
27,06/01/2020 0:31,Bush,Large,Tzeelim,2,6,Summer
26.5,06/01/2020 1:31,Bush,Large,Tzeelim,2,6,Summer
26,06/01/2020 2:31,Bush,Large,Tzeelim,2,6,Summer
25.5,06/01/2020 3:31,Bush,Large,Tzeelim,2,6,Summer
25,06/01/2020 4:31,Bush,Large,Tzeelim,2,6,Summer
24.5,06/01/2020 5:31,Bush,Large,Tzeelim,2,6,Summer
25.5,06/01/2020 6:31,Bush,Large,Tzeelim,2,6,Summer
29,06/01/2020 7:31,Bush,Large,Tzeelim,2,6,Summer
33.5,06/01/2020 8:31,Bush,Large,Tzeelim,2,6,Summer
37,06/01/2020 9:31,Bush,Large,Tzeelim,2,6,Summer
39.5,06/01/2020 10:31,Bush,Large,Tzeelim,2,6,Summer
43,06/01/2020 11:31,Bush,Large,Tzeelim,2,6,Summer
44.5,06/01/2020 12:31,Bush,Large,Tzeelim,2,6,Summer
44,06/01/2020 13:31,Bush,Large,Tzeelim,2,6,Summer
41.5,06/01/2020 14:31,Bush,Large,Tzeelim,2,6,Summer
40,06/01/2020 15:31,Bush,Large,Tzeelim,2,6,Summer
38,06/01/2020 16:31,Bush,Large,Tzeelim,2,6,Summer
36.5,06/01/2020 17:31,Bush,Large,Tzeelim,2,6,Summer
35,06/01/2020 18:31,Bush,Large,Tzeelim,2,6,Summer
33.5,06/01/2020 19:31,Bush,Large,Tzeelim,2,6,Summer
32,06/01/2020 20:31,Bush,Large,Tzeelim,2,6,Summer
30.5,06/01/2020 21:31,Bush,Large,Tzeelim,2,6,Summer
29.5,06/01/2020 22:31,Bush,Large,Tzeelim,2,6,Summer
29,06/01/2020 23:31,Bush,Large,Tzeelim,2,6,Summer
28.5,06/02/2020 0:31,Bush,Large,Tzeelim,2,6,Summer
28,06/02/2020 1:31,Bush,Large,Tzeelim,2,6,Summer
27,06/02/2020 2:31,Bush,Large,Tzeelim,2,6,Summer
26.5,06/02/2020 3:31,Bush,Large,Tzeelim,2,6,Summer
26,06/02/2020 4:31,Bush,Large,Tzeelim,2,6,Summer
25.5,06/02/2020 5:31,Bush,Large,Tzeelim,2,6,Summer
25.5,06/02/2020 6:31,Bush,Large,Tzeelim,2,6,Summer
29.5,06/02/2020 7:31,Bush,Large,Tzeelim,2,6,Summer
34.5,06/02/2020 8:31,Bush,Large,Tzeelim,2,6,Summer
38.5,06/02/2020 9:31,Bush,Large,Tzeelim,2,6,Summer
42.5,06/02/2020 10:31,Bush,Large,Tzeelim,2,6,Summer
46,06/02/2020 11:31,Bush,Large,Tzeelim,2,6,Summer
48,06/02/2020 12:31,Bush,Large,Tzeelim,2,6,Summer
47.5,06/02/2020 13:31,Bush,Large,Tzeelim,2,6,Summer
44,06/02/2020 14:31,Bush,Large,Tzeelim,2,6,Summer
40,06/02/2020 15:31,Bush,Large,Tzeelim,2,6,Summer
38.5,06/02/2020 16:31,Bush,Large,Tzeelim,2,6,Summer
36.5,06/02/2020 17:31,Bush,Large,Tzeelim,2,6,Summer
25.5,06/01/2020 0:01,Rock,Large,Mishmar,1,6,Summer
26,06/01/2020 1:01,Rock,Large,Mishmar,1,6,Summer
25,06/01/2020 2:01,Rock,Large,Mishmar,1,6,Summer
25,06/01/2020 3:01,Rock,Large,Mishmar,1,6,Summer
24,06/01/2020 4:01,Rock,Large,Mishmar,1,6,Summer
24.5,06/01/2020 5:01,Rock,Large,Mishmar,1,6,Summer
24.5,06/01/2020 6:01,Rock,Large,Mishmar,1,6,Summer
26,06/01/2020 7:01,Rock,Large,Mishmar,1,6,Summer
34,06/01/2020 8:01,Rock,Large,Mishmar,1,6,Summer
35.5,06/01/2020 9:01,Rock,Large,Mishmar,1,6,Summer
37.5,06/01/2020 10:01,Rock,Large,Mishmar,1,6,Summer
41.5,06/01/2020 11:01,Rock,Large,Mishmar,1,6,Summer
38,06/01/2020 12:01,Rock,Large,Mishmar,1,6,Summer
34.5,06/01/2020 13:01,Rock,Large,Mishmar,1,6,Summer
35,06/01/2020 14:01,Rock,Large,Mishmar,1,6,Summer
35,06/01/2020 15:01,Rock,Large,Mishmar,1,6,Summer
34.5,06/01/2020 16:01,Rock,Large,Mishmar,1,6,Summer
35,06/01/2020 17:01,Rock,Large,Mishmar,1,6,Summer
34,06/01/2020 18:01,Rock,Large,Mishmar,1,6,Summer
32,06/01/2020 19:01,Rock,Large,Mishmar,1,6,Summer
30.5,06/01/2020 20:01,Rock,Large,Mishmar,1,6,Summer
30.5,06/01/2020 21:01,Rock,Large,Mishmar,1,6,Summer
29.5,06/01/2020 22:01,Rock,Large,Mishmar,1,6,Summer
29,06/01/2020 23:01,Rock,Large,Mishmar,1,6,Summer
28.5,06/02/2020 0:01,Rock,Large,Mishmar,1,6,Summer
28,06/02/2020 1:01,Rock,Large,Mishmar,1,6,Summer
27.5,06/02/2020 2:01,Rock,Large,Mishmar,1,6,Summer
26.5,06/02/2020 3:01,Rock,Large,Mishmar,1,6,Summer
26.5,06/02/2020 4:01,Rock,Large,Mishmar,1,6,Summer
26,06/02/2020 5:01,Rock,Large,Mishmar,1,6,Summer
26.5,06/02/2020 6:01,Rock,Large,Mishmar,1,6,Summer
28.5,06/02/2020 7:01,Rock,Large,Mishmar,1,6,Summer
38,06/02/2020 8:01,Rock,Large,Mishmar,1,6,Summer
44.5,06/02/2020 9:01,Rock,Large,Mishmar,1,6,Summer
48.5,06/02/2020 10:01,Rock,Large,Mishmar,1,6,Summer
49,06/02/2020 11:01,Rock,Large,Mishmar,1,6,Summer
46,06/02/2020 12:01,Rock,Large,Mishmar,1,6,Summer
41.5,06/02/2020 13:01,Rock,Large,Mishmar,1,6,Summer
39,06/02/2020 14:01,Rock,Large,Mishmar,1,6,Summer
37.5,06/02/2020 15:01,Rock,Large,Mishmar,1,6,Summer
37,06/02/2020 16:01,Rock,Large,Mishmar,1,6,Summer
35.5,06/02/2020 17:01,Rock,Large,Mishmar,1,6,Summer
34.5,06/02/2020 18:01,Rock,Large,Mishmar,1,6,Summer
26.5,06/01/2020 0:05,Rock,Large,Tzeelim,1,6,Summer
27.5,06/01/2020 1:05,Rock,Large,Tzeelim,1,6,Summer
27.5,06/01/2020 2:05,Rock,Large,Tzeelim,1,6,Summer
27.5,06/01/2020 3:05,Rock,Large,Tzeelim,1,6,Summer
27.5,06/01/2020 4:05,Rock,Large,Tzeelim,1,6,Summer
27.5,06/01/2020 5:05,Rock,Large,Tzeelim,1,6,Summer
27,06/01/2020 6:05,Rock,Large,Tzeelim,1,6,Summer
29.5,06/01/2020 7:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 8:05,Rock,Large,Tzeelim,1,6,Summer
30.5,06/01/2020 9:05,Rock,Large,Tzeelim,1,6,Summer
31,06/01/2020 10:05,Rock,Large,Tzeelim,1,6,Summer
31.5,06/01/2020 11:05,Rock,Large,Tzeelim,1,6,Summer
31,06/01/2020 12:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 13:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 14:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 15:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 16:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 17:05,Rock,Large,Tzeelim,1,6,Summer
32,06/01/2020 18:05,Rock,Large,Tzeelim,1,6,Summer
31.5,06/01/2020 19:05,Rock,Large,Tzeelim,1,6,Summer
31.5,06/01/2020 20:05,Rock,Large,Tzeelim,1,6,Summer
31,06/01/2020 21:05,Rock,Large,Tzeelim,1,6,Summer
30.5,06/01/2020 22:05,Rock,Large,Tzeelim,1,6,Summer
30,06/01/2020 23:05,Rock,Large,Tzeelim,1,6,Summer
30,06/02/2020 0:05,Rock,Large,Tzeelim,1,6,Summer
30,06/02/2020 1:05,Rock,Large,Tzeelim,1,6,Summer
30,06/02/2020 2:05,Rock,Large,Tzeelim,1,6,Summer
30,06/02/2020 3:05,Rock,Large,Tzeelim,1,6,Summer
30,06/02/2020 4:05,Rock,Large,Tzeelim,1,6,Summer
29.5,06/02/2020 5:05,Rock,Large,Tzeelim,1,6,Summer
29.5,06/02/2020 6:05,Rock,Large,Tzeelim,1,6,Summer
31,06/02/2020 7:05,Rock,Large,Tzeelim,1,6,Summer
33.5,06/02/2020 8:05,Rock,Large,Tzeelim,1,6,Summer
33,06/02/2020 9:05,Rock,Large,Tzeelim,1,6,Summer
34,06/02/2020 10:05,Rock,Large,Tzeelim,1,6,Summer
34.5,06/02/2020 11:05,Rock,Large,Tzeelim,1,6,Summer
34.5,06/02/2020 12:05,Rock,Large,Tzeelim,1,6,Summer
35,06/02/2020 13:05,Rock,Large,Tzeelim,1,6,Summer
35.5,06/02/2020 14:05,Rock,Large,Tzeelim,1,6,Summer
35,06/02/2020 15:05,Rock,Large,Tzeelim,1,6,Summer
34.5,06/02/2020 16:05,Rock,Large,Tzeelim,1,6,Summer
33.5,06/02/2020 17:05,Rock,Large,Tzeelim,1,6,Summer
26.5,06/01/2020 0:04,Rock,Large,Mishmar,2,6,Summer
27.5,06/01/2020 1:04,Rock,Large,Mishmar,2,6,Summer
28.5,06/01/2020 2:04,Rock,Large,Mishmar,2,6,Summer
28.5,06/01/2020 3:04,Rock,Large,Mishmar,2,6,Summer
26.5,06/01/2020 4:04,Rock,Large,Mishmar,2,6,Summer
26,06/01/2020 5:04,Rock,Large,Mishmar,2,6,Summer
25.5,06/01/2020 6:04,Rock,Large,Mishmar,2,6,Summer
27.5,06/01/2020 7:04,Rock,Large,Mishmar,2,6,Summer
28.5,06/01/2020 8:04,Rock,Large,Mishmar,2,6,Summer
29.5,06/01/2020 9:04,Rock,Large,Mishmar,2,6,Summer
30,06/01/2020 10:04,Rock,Large,Mishmar,2,6,Summer
31,06/01/2020 11:04,Rock,Large,Mishmar,2,6,Summer
31.5,06/01/2020 12:04,Rock,Large,Mishmar,2,6,Summer
32,06/01/2020 13:04,Rock,Large,Mishmar,2,6,Summer
32,06/01/2020 14:04,Rock,Large,Mishmar,2,6,Summer
33.5,06/01/2020 15:04,Rock,Large,Mishmar,2,6,Summer
33.5,06/01/2020 16:04,Rock,Large,Mishmar,2,6,Summer
34,06/01/2020 17:04,Rock,Large,Mishmar,2,6,Summer
34,06/01/2020 18:04,Rock,Large,Mishmar,2,6,Summer
33.5,06/01/2020 19:04,Rock,Large,Mishmar,2,6,Summer
33.5,06/01/2020 20:04,Rock,Large,Mishmar,2,6,Summer
33,06/01/2020 21:04,Rock,Large,Mishmar,2,6,Summer
33,06/01/2020 22:04,Rock,Large,Mishmar,2,6,Summer
30.5,06/01/2020 23:04,Rock,Large,Mishmar,2,6,Summer
31.5,06/02/2020 0:04,Rock,Large,Mishmar,2,6,Summer
29.5,06/02/2020 1:04,Rock,Large,Mishmar,2,6,Summer
29,06/02/2020 2:04,Rock,Large,Mishmar,2,6,Summer
30,06/02/2020 3:04,Rock,Large,Mishmar,2,6,Summer
30.5,06/02/2020 4:04,Rock,Large,Mishmar,2,6,Summer
30,06/02/2020 5:04,Rock,Large,Mishmar,2,6,Summer
29.5,06/02/2020 6:04,Rock,Large,Mishmar,2,6,Summer
30.5,06/02/2020 7:04,Rock,Large,Mishmar,2,6,Summer
30.5,06/02/2020 8:04,Rock,Large,Mishmar,2,6,Summer
31.5,06/02/2020 9:04,Rock,Large,Mishmar,2,6,Summer
32,06/02/2020 10:04,Rock,Large,Mishmar,2,6,Summer
32.5,06/02/2020 11:04,Rock,Large,Mishmar,2,6,Summer
33.5,06/02/2020 12:04,Rock,Large,Mishmar,2,6,Summer
34,06/02/2020 13:04,Rock,Large,Mishmar,2,6,Summer
37.5,06/02/2020 14:04,Rock,Large,Mishmar,2,6,Summer
36.5,06/02/2020 15:04,Rock,Large,Mishmar,2,6,Summer
36,06/02/2020 16:04,Rock,Large,Mishmar,2,6,Summer
35,06/02/2020 17:04,Rock,Large,Mishmar,2,6,Summer
33.5,06/02/2020 18:04,Rock,Large,Mishmar,2,6,Summer
26,06/01/2020 0:06,Rock,Large,Tzeelim,2,6,Summer
27.5,06/01/2020 1:06,Rock,Large,Tzeelim,2,6,Summer
26,06/01/2020 2:06,Rock,Large,Tzeelim,2,6,Summer
27.5,06/01/2020 3:06,Rock,Large,Tzeelim,2,6,Summer
26.5,06/01/2020 4:06,Rock,Large,Tzeelim,2,6,Summer
25.5,06/01/2020 5:06,Rock,Large,Tzeelim,2,6,Summer
25.5,06/01/2020 6:06,Rock,Large,Tzeelim,2,6,Summer
26.5,06/01/2020 7:06,Rock,Large,Tzeelim,2,6,Summer
28,06/01/2020 8:06,Rock,Large,Tzeelim,2,6,Summer
28.5,06/01/2020 9:06,Rock,Large,Tzeelim,2,6,Summer
30.5,06/01/2020 10:06,Rock,Large,Tzeelim,2,6,Summer
31,06/01/2020 11:06,Rock,Large,Tzeelim,2,6,Summer
31.5,06/01/2020 12:06,Rock,Large,Tzeelim,2,6,Summer
31.5,06/01/2020 13:06,Rock,Large,Tzeelim,2,6,Summer
32.5,06/01/2020 14:06,Rock,Large,Tzeelim,2,6,Summer
32.5,06/01/2020 15:06,Rock,Large,Tzeelim,2,6,Summer
32.5,06/01/2020 16:06,Rock,Large,Tzeelim,2,6,Summer
33,06/01/2020 17:06,Rock,Large,Tzeelim,2,6,Summer
33,06/01/2020 18:06,Rock,Large,Tzeelim,2,6,Summer
33,06/01/2020 19:06,Rock,Large,Tzeelim,2,6,Summer
32,06/01/2020 20:06,Rock,Large,Tzeelim,2,6,Summer
31.5,06/01/2020 21:06,Rock,Large,Tzeelim,2,6,Summer
31,06/01/2020 22:06,Rock,Large,Tzeelim,2,6,Summer
30.5,06/01/2020 23:06,Rock,Large,Tzeelim,2,6,Summer
30,06/02/2020 0:06,Rock,Large,Tzeelim,2,6,Summer
30,06/02/2020 1:06,Rock,Large,Tzeelim,2,6,Summer
30.5,06/02/2020 2:06,Rock,Large,Tzeelim,2,6,Summer
30.5,06/02/2020 3:06,Rock,Large,Tzeelim,2,6,Summer
29.5,06/02/2020 4:06,Rock,Large,Tzeelim,2,6,Summer
29.5,06/02/2020 5:06,Rock,Large,Tzeelim,2,6,Summer
30,06/02/2020 6:06,Rock,Large,Tzeelim,2,6,Summer
30,06/02/2020 7:06,Rock,Large,Tzeelim,2,6,Summer
31,06/02/2020 8:06,Rock,Large,Tzeelim,2,6,Summer
32,06/02/2020 9:06,Rock,Large,Tzeelim,2,6,Summer
33,06/02/2020 10:06,Rock,Large,Tzeelim,2,6,Summer
33,06/02/2020 11:06,Rock,Large,Tzeelim,2,6,Summer
34,06/02/2020 12:06,Rock,Large,Tzeelim,2,6,Summer
35,06/02/2020 13:06,Rock,Large,Tzeelim,2,6,Summer
37,06/02/2020 14:06,Rock,Large,Tzeelim,2,6,Summer
35.5,06/02/2020 15:06,Rock,Large,Tzeelim,2,6,Summer
35,06/02/2020 16:06,Rock,Large,Tzeelim,2,6,Summer
34,06/02/2020 17:06,Rock,Large,Tzeelim,2,6,Summer
27.5,06/01/2020 0:25,Bush,Medium,Mishmar,1,6,Summer
27.5,06/01/2020 1:25,Bush,Medium,Mishmar,1,6,Summer
27,06/01/2020 2:25,Bush,Medium,Mishmar,1,6,Summer
27,06/01/2020 3:25,Bush,Medium,Mishmar,1,6,Summer
26.5,06/01/2020 4:25,Bush,Medium,Mishmar,1,6,Summer
26,06/01/2020 5:25,Bush,Medium,Mishmar,1,6,Summer
27,06/01/2020 6:25,Bush,Medium,Mishmar,1,6,Summer
31,06/01/2020 7:25,Bush,Medium,Mishmar,1,6,Summer
33,06/01/2020 8:25,Bush,Medium,Mishmar,1,6,Summer
34,06/01/2020 9:25,Bush,Medium,Mishmar,1,6,Summer
34,06/01/2020 10:25,Bush,Medium,Mishmar,1,6,Summer
34,06/01/2020 11:25,Bush,Medium,Mishmar,1,6,Summer
34,06/01/2020 12:25,Bush,Medium,Mishmar,1,6,Summer
34.5,06/01/2020 13:25,Bush,Medium,Mishmar,1,6,Summer
34.5,06/01/2020 14:25,Bush,Medium,Mishmar,1,6,Summer
34.5,06/01/2020 15:25,Bush,Medium,Mishmar,1,6,Summer
34,06/01/2020 16:25,Bush,Medium,Mishmar,1,6,Summer
34.5,06/01/2020 17:25,Bush,Medium,Mishmar,1,6,Summer
34,06/01/2020 18:25,Bush,Medium,Mishmar,1,6,Summer
32.5,06/01/2020 19:25,Bush,Medium,Mishmar,1,6,Summer
31.5,06/01/2020 20:25,Bush,Medium,Mishmar,1,6,Summer
31,06/01/2020 21:25,Bush,Medium,Mishmar,1,6,Summer
30.5,06/01/2020 22:25,Bush,Medium,Mishmar,1,6,Summer
30.5,06/01/2020 23:25,Bush,Medium,Mishmar,1,6,Summer
30,06/02/2020 0:25,Bush,Medium,Mishmar,1,6,Summer
29.5,06/02/2020 1:25,Bush,Medium,Mishmar,1,6,Summer
29,06/02/2020 2:25,Bush,Medium,Mishmar,1,6,Summer
28.5,06/02/2020 3:25,Bush,Medium,Mishmar,1,6,Summer
28.5,06/02/2020 4:25,Bush,Medium,Mishmar,1,6,Summer
28,06/02/2020 5:25,Bush,Medium,Mishmar,1,6,Summer
28.5,06/02/2020 6:25,Bush,Medium,Mishmar,1,6,Summer
32,06/02/2020 7:25,Bush,Medium,Mishmar,1,6,Summer
34,06/02/2020 8:25,Bush,Medium,Mishmar,1,6,Summer
36.5,06/02/2020 9:25,Bush,Medium,Mishmar,1,6,Summer
36.5,06/02/2020 10:25,Bush,Medium,Mishmar,1,6,Summer
36.5,06/02/2020 11:25,Bush,Medium,Mishmar,1,6,Summer
37.5,06/02/2020 12:25,Bush,Medium,Mishmar,1,6,Summer
38.5,06/02/2020 13:25,Bush,Medium,Mishmar,1,6,Summer
38.5,06/02/2020 14:25,Bush,Medium,Mishmar,1,6,Summer
36.5,06/02/2020 15:25,Bush,Medium,Mishmar,1,6,Summer
36.5,06/02/2020 16:25,Bush,Medium,Mishmar,1,6,Summer
35,06/02/2020 17:25,Bush,Medium,Mishmar,1,6,Summer
33.5,06/02/2020 18:25,Bush,Medium,Mishmar,1,6,Summer
26,06/01/2020 0:20,Bush,Medium,Tzeelim,1,6,Summer
27,06/01/2020 1:20,Bush,Medium,Tzeelim,1,6,Summer
26.5,06/01/2020 2:20,Bush,Medium,Tzeelim,1,6,Summer
26,06/01/2020 3:20,Bush,Medium,Tzeelim,1,6,Summer
25.5,06/01/2020 4:20,Bush,Medium,Tzeelim,1,6,Summer
25.5,06/01/2020 5:20,Bush,Medium,Tzeelim,1,6,Summer
25,06/01/2020 6:20,Bush,Medium,Tzeelim,1,6,Summer
26,06/01/2020 7:20,Bush,Medium,Tzeelim,1,6,Summer
